wave,gender,income_comparison,age,mean_effect,sd
Wave-1,Female,£0-£300→£301-£490,18.0,-0.017575474621960102,0.015918521849617128
Wave-1,Female,£0-£300→£301-£490,19.03174603174603,-0.017623321093029172,0.01594317108128478
Wave-1,Female,£0-£300→£301-£490,20.063492063492063,-0.017670334159560486,0.015966789884730645
Wave-1,Female,£0-£300→£301-£490,21.095238095238095,-0.0177164793248286,0.01598935310814832
Wave-1,Female,£0-£300→£301-£490,22.126984126984127,-0.017761722063436847,0.016010836131441764
Wave-1,Female,£0-£300→£301-£490,23.158730158730158,-0.01780602787913101,0.01603121491992522
Wave-1,Female,£0-£300→£301-£490,24.19047619047619,-0.017849362364278743,0.01605046607791058
Wave-1,Female,£0-£300→£301-£490,25.22222222222222,-0.017891691260859887,0.01606856690200061
Wave-1,Female,£0-£300→£301-£490,26.253968253968253,-0.017932980522801067,0.01608549543390268
Wave-1,Female,£0-£300→£301-£490,27.285714285714285,-0.01797319637947709,0.0161012305125745
Wave-1,Female,£0-£300→£301-£490,28.317460317460316,-0.018012305400190897,0.016115751825510775
Wave-1,Female,£0-£300→£301-£490,29.349206349206348,-0.018050274559434542,0.016129039958978304
Wave-1,Female,£0-£300→£301-£490,30.380952380952383,-0.018087071302724172,0.016141076447006162
Wave-1,Female,£0-£300→£301-£490,31.412698412698415,-0.01812266361279442,0.016151843818937875
Wave-1,Female,£0-£300→£301-£490,32.44444444444444,-0.01815702007593013,0.01616132564535352
Wave-1,Female,£0-£300→£301-£490,33.47619047619048,-0.018190109948207286,0.016169506582171953
Wave-1,Female,£0-£300→£301-£490,34.507936507936506,-0.01822190322140982,0.016176372412746335
Wave-1,Female,£0-£300→£301-£490,35.539682539682545,-0.018252370688384922,0.01618191008777045
Wave-1,Female,£0-£300→£301-£490,36.57142857142857,-0.01828148400759658,0.016186107762818522
Wave-1,Female,£0-£300→£301-£490,37.60317460317461,-0.01830921576663502,0.01618895483334754
Wave-1,Female,£0-£300→£301-£490,38.63492063492063,-0.018335539544439363,0.016190441966998505
Wave-1,Female,£0-£300→£301-£490,39.66666666666667,-0.018360429971991096,0.01619056113304153
Wave-1,Female,£0-£300→£301-£490,40.698412698412696,-0.01838386279123778,0.01618930562881912
Wave-1,Female,£0-£300→£301-£490,41.730158730158735,-0.018405814912009398,0.016186670103052463
Wave-1,Female,£0-£300→£301-£490,42.761904761904766,-0.01842626446669373,0.016182650575887005
Wave-1,Female,£0-£300→£301-£490,43.7936507936508,-0.018445190862442895,0.016177244455565863
Wave-1,Female,£0-£300→£301-£490,44.82539682539683,-0.018462574830689412,0.016170450551632753
Wave-1,Female,£0-£300→£301-£490,45.85714285714286,-0.01847839847375851,0.01616226908458001
Wave-1,Female,£0-£300→£301-£490,46.88888888888889,-0.018492645308372253,0.016152701691871777
Wave-1,Female,£0-£300→£301-£490,47.920634920634924,-0.01850530030585164,0.016141751430287704
Wave-1,Female,£0-£300→£301-£490,48.952380952380956,-0.018516349928834636,0.016129422774547937
Wave-1,Female,£0-£300→£301-£490,49.98412698412699,-0.018525782164340903,0.016115721612196546
Wave-1,Female,£0-£300→£301-£490,51.01587301587302,-0.0185335865530284,0.016100655234736812
Wave-1,Female,£0-£300→£301-£490,52.04761904761905,-0.018539754214502362,0.016084232325028612
Wave-1,Female,£0-£300→£301-£490,53.07936507936508,-0.018544277868553928,0.016066462940975124
Wave-1,Female,£0-£300→£301-£490,54.111111111111114,-0.018547151852223293,0.016047358495543278
Wave-1,Female,£0-£300→£301-£490,55.142857142857146,-0.01854837213260134,0.016026931733179494
Wave-1,Female,£0-£300→£301-£490,56.17460317460318,-0.018547936315303288,0.016005196702699658
Wave-1,Female,£0-£300→£301-£490,57.20634920634921,-0.01854584364856874,0.015982168726749423
Wave-1,Female,£0-£300→£301-£490,58.23809523809524,-0.018542095022963872,0.015957864367948122
Wave-1,Female,£0-£300→£301-£490,59.26984126984127,-0.01853669296668343,0.01593230139184634
Wave-1,Female,£0-£300→£301-£490,60.301587301587304,-0.018529641636472798,0.01590549872684399
Wave-1,Female,£0-£300→£301-£490,61.333333333333336,-0.018520946804212755,0.01587747642123159
Wave-1,Female,£0-£300→£301-£490,62.36507936507937,-0.01851061583923251,0.015848255597533244
Wave-1,Female,£0-£300→£301-£490,63.3968253968254,-0.018498657686438668,0.015817858404344475
Wave-1,Female,£0-£300→£301-£490,64.42857142857143,-0.01848508284037017,0.015786307965871944
Wave-1,Female,£0-£300→£301-£490,65.46031746031747,-0.018469903315310277,0.015753628329394878
Wave-1,Female,£0-£300→£301-£490,66.4920634920635,-0.01845313261160733,0.015719844410879473
Wave-1,Female,£0-£300→£301-£490,67.52380952380953,-0.018434785678375188,0.01568498193898738
